date,sales,outsourcing_costs,commissions_fees,gross_profit,executive_compensation,salaries,bonuses,welfare_expenses,employee_welfare,transportation_expenses,communication_expenses,entertainment_expenses,depreciation_expenses,rent_payments,lease_payments,insurance_expenses,maintenance_expenses,utilities,fuel_expenses,supplies,taxes,office_supplies,advertising_expenses,service_fees,vehicle_costs,training_expenses,miscellaneous_expenses,operating_profit,interest_income,miscellaneous_income,interest_expenses,ordinary_profit,profit_bit,enterprise_taxes,net_profit
2024/2/1,2569230,449212,74440,2045578,150010,600000,0,109651,75000,0,17182,191783,0,85000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,476876,1393,5010,0,483278,483278,16667,466612
2024/3/1,3200466,457489,75426,2667551,150011,600000,0,109652,75000,0,65138,43150,0,85000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,1199524,1393,5011,0,1205928,1205928,16667,1189261
2024/4/1,2568710,422878,69692,2076140,150012,600000,0,109652,75000,0,40366,142780,141667,25000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,451587,1393,5012,0,457992,457992,16667,441326
2024/5/1,2952257,398362,74712,2479183,150013,600000,0,109652,75000,0,17982,68784,141667,25000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,951009,1393,5013,0,957415,957415,16667,940748
2024/6/1,3349815,412011,76484,2861320,150014,600000,0,109652,75000,0,69420,64173,141667,25000,50000,40000,0,9000,60000,30000,76576,30000,2000,5000,30000,6000,1500,1286318,1393,5014,0,1292725,1292725,16667,1276058
2024/7/1,3017172,454933,68203,2494036,150015,600000,0,109652,75000,0,40270,135020,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,877336,1393,5015,0,883743,883743,16667,867077
2024/8/1,2994907,434099,67042,2493766,150016,600000,600000,197372,75000,0,40265,297306,141667,25000,50000,40000,0,9000,60000,30000,137837,30000,2000,5000,30000,6000,1500,-34197,1393,5016,0,-27788,-27788,16667,-44454
2024/9/1,3244318,405363,69177,2769778,150017,600000,0,109652,75000,0,41265,257533,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,1029567,1393,5017,0,1035977,1035977,16667,1019310
2024/10/1,2658108,421481,72865,2163762,150018,600000,0,109653,75000,0,19602,258386,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,444360,1393,5018,0,450771,450771,16667,434104
2024/11/1,2837861,422453,81441,2333967,150019,600000,0,109653,75000,0,67169,41970,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,783413,1393,5019,0,789824,789824,16667,773158
2024/12/1,2625870,377104,70858,2177908,150020,600000,600000,197373,75000,0,41619,94147,141667,25000,50000,40000,0,9000,60000,30000,137837,30000,2000,5000,30000,6000,1500,-148255,1393,5020,0,-141842,-141842,16667,-158508
2025/1/1,3282349,396935,71615,2813799,150021,600000,0,109653,75000,0,42031,144553,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,1185797,1393,5021,0,1192211,1192211,16667,1175544
2025/2/1,3196381,454145,75808,2666428,150022,600000,0,109653,75000,0,20170,189674,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,1015165,1393,5022,0,1021580,1021580,16667,1004913
2025/3/1,3026555,456515,71474,2498566,150023,600000,0,109653,75000,0,74654,152576,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,829916,1393,5023,0,836331,836331,16667,819665
2025/4/1,2529881,375424,72475,2081982,150024,600000,0,109654,75000,0,40913,129435,141667,25000,50000,40000,0,9000,60000,30000,76577,30000,2000,5000,30000,6000,1500,470212,1393,5024,0,476629,476629,16667,459963
2025/5/1,2831498,413446,74796,2343256,150025,600000,0,109654,75000,0,50183,248819,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,602831,1393,5025,0,609249,609249,16667,592582
2025/6/1,3012448,414099,74472,2523877,150026,600000,0,109654,75000,0,41660,44110,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,996683,1393,5026,0,1003102,1003102,16667,986435
2025/7/1,3461406,448684,80537,2932185,150027,600000,0,109654,75000,0,18090,250063,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,1222607,1393,5027,0,1229026,1229026,16667,1212360
2025/8/1,3246779,395273,79538,2771968,150028,600000,600000,197374,75000,0,66985,41850,141667,25000,50000,40000,0,9000,60000,30000,137838,30000,2000,5000,30000,6000,1500,472726,1393,5028,0,479147,479147,16667,462481
2025/9/1,3381468,389152,75008,2917308,150029,600000,0,109654,75000,0,41246,132978,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,1301656,1393,5029,0,1308078,1308078,16667,1291411
2025/10/1,2555731,398523,68700,2088508,150030,600000,0,109654,75000,0,21912,122038,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,503129,1393,5030,0,509552,509552,16667,492885
2025/11/1,3569603,447183,73896,3048524,150031,600000,0,109655,75000,0,65296,16412,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,1525386,1393,5031,0,1531809,1531809,16667,1515143
2025/12/1,2992191,404741,68237,2519213,150032,600000,600000,197375,75000,0,42226,272022,141667,25000,50000,40000,0,9000,60000,30000,137838,30000,2000,5000,30000,6000,1500,14553,1393,5032,0,20978,20978,16667,4312
2026/1/1,3423746,455293,77128,2891325,150033,600000,0,109655,75000,0,18655,48296,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,1382941,1393,5033,0,1389367,1389367,16667,1372700
2026/2/1,3533558,424163,74360,3035035,150034,600000,0,109655,75000,0,66686,55100,141667,25000,50000,40000,0,9000,60000,30000,76578,30000,2000,5000,30000,6000,1500,1471815,1393,5034,0,1478242,1478242,16667,1461575
2026/3/1,3295041,426203,74157,2794681,150035,600000,0,109655,75000,0,46881,25840,141667,25000,50000,40000,0,9000,60000,30000,76579,30000,2000,5000,30000,6000,1500,1280525,1393,5035,0,1286952,1286952,16667,1270286
